"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kind","Param: offset","Param: size"
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,67.546999,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,190.558321,NaN,"ns/op",arrayset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1377.441449,NaN,"ns/op",arrayset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,12762.013584,NaN,"ns/op",arrayset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,130553.309062,NaN,"ns/op",arrayset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1621088.861241,NaN,"ns/op",arrayset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,59.025186,NaN,"ns/op",arrayset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,114.019781,NaN,"ns/op",arrayset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,763.692742,NaN,"ns/op",arrayset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,7632.431182,NaN,"ns/op",arrayset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,78330.795389,NaN,"ns/op",arrayset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,759929.495933,NaN,"ns/op",arrayset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,59.224266,NaN,"ns/op",arrayset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,144.442963,NaN,"ns/op",arrayset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,301.961486,NaN,"ns/op",arrayset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,890.382224,NaN,"ns/op",arrayset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,5444.686213,NaN,"ns/op",arrayset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,49365.131748,NaN,"ns/op",arrayset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,4.390725,NaN,"ns/op",hashset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,111.296190,NaN,"ns/op",hashset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1197.573435,NaN,"ns/op",hashset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,12645.263529,NaN,"ns/op",hashset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,308537.106441,NaN,"ns/op",hashset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,7249806.881425,NaN,"ns/op",hashset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,4.317467,NaN,"ns/op",hashset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,127.881274,NaN,"ns/op",hashset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1986.497927,NaN,"ns/op",hashset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,18350.303544,NaN,"ns/op",hashset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,302808.120599,NaN,"ns/op",hashset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,4964898.163549,NaN,"ns/op",hashset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,3.879918,NaN,"ns/op",hashset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,170.196638,NaN,"ns/op",hashset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1617.491933,NaN,"ns/op",hashset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,12021.231883,NaN,"ns/op",hashset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,259508.757787,NaN,"ns/op",hashset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,5622692.224594,NaN,"ns/op",hashset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,40.777710,NaN,"ns/op",sortedset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,616.540277,NaN,"ns/op",sortedset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,11753.025218,NaN,"ns/op",sortedset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,171023.929595,NaN,"ns/op",sortedset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,2155404.331296,NaN,"ns/op",sortedset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,32359035.937627,NaN,"ns/op",sortedset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,42.491408,NaN,"ns/op",sortedset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,526.012878,NaN,"ns/op",sortedset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,9782.689475,NaN,"ns/op",sortedset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,179051.244398,NaN,"ns/op",sortedset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1825234.378992,NaN,"ns/op",sortedset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,28289295.422601,NaN,"ns/op",sortedset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,26.753594,NaN,"ns/op",sortedset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,314.369400,NaN,"ns/op",sortedset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,4827.875437,NaN,"ns/op",sortedset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,98847.036483,NaN,"ns/op",sortedset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1167755.317536,NaN,"ns/op",sortedset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,24443405.317073,NaN,"ns/op",sortedset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,49.917065,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,87.631428,NaN,"ns/op",arrayset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,522.690654,NaN,"ns/op",arrayset,0.0,100
